iata_code,name,standard_name,type,latitude_deg,longitude_deg,elevation_ft,continent_name,iso_country,iso_region,municipality,runway_length_m,runway_width_m,runway_capacity,hub_priority_score,distance_from_ams_km,strategic_distance
YSQ,Songyuan Chaganhu Airport,Songyuan Chaganhu,medium_airport,44.938114,124.550178,459.0,Asia,CN,CN-22,Qian Gorlos Mongol Autonomous County,2499.9696,45.110400000000006,medium,4,7759.424060523457,intercontinental
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Val de Cans/Júlio Cezar Ribeiro,large_airport,-1.379279,-48.476207,54.0,South America,BR,BR-PA,Belém,1830.0192000000002,45.110400000000006,small,4,7763.0831123052285,intercontinental
LNL,Longnan Chengzhou Airport,Longnan Chengzhou,medium_airport,33.789918,105.790014,3707.0,Asia,CN,CN-62,Longnan (Cheng),2799.8928,45.110400000000006,medium,4,7766.111934011179,intercontinental
LBL,Liberal Mid-America Regional Airport,Liberal Mid-America Regional,medium_airport,37.0442009,-100.9599991,2885.0,,US,US-KS,Liberal,1743.7608,45.72,small,4,7771.102275413366,intercontinental
TGO,Tongliao Airport,Tongliao,medium_airport,43.556702,122.199997,2395.0,Asia,CN,CN-15,Tongliao,2300.0208000000002,,medium,4,7778.451299844916,intercontinental
AJL,Lengpui Airport,Lengpui,medium_airport,23.840599,92.619698,1398.0,Asia,IN,IN-MZ,Aizawl (Lengpui),2499.9696,45.110400000000006,medium,4,7781.338833434628,intercontinental
MCP,Macapá - Alberto Alcolumbre International Airport,Macapá - Alberto Alcolumbre,medium_airport,0.050664,-51.072201,56.0,South America,BR,BR-AP,Macapá,2100.072,45.110400000000006,medium,4,7781.416322192277,intercontinental
IMF,Imphal Airport,Imphal,medium_airport,24.7600002289,93.896697998,2540.0,Asia,IN,IN-MN,Imphal,2745.9432,45.110400000000006,medium,4,7787.651627902717,intercontinental
PAE,Seattle Paine Field International Airport,Seattle Paine Field,medium_airport,47.9063,-122.281998,606.0,,US,US-WA,Everett,1375.8672000000001,22.86,small,4,7795.480296672773,intercontinental
RKS,Southwest Wyoming Regional Airport,Southwest Wyoming Regional,medium_airport,41.5942,-109.065001,6764.0,,US,US-WY,Rock Springs,1591.9704000000002,22.86,small,4,7795.811722288303,intercontinental
CDE,Chengde Puning Airport,Chengde Puning,medium_airport,41.1225,118.073889,,Asia,CN,CN-13,Chengde,2799.8928,45.110400000000006,medium,4,7798.262043570958,intercontinental
THE,Senador Petrônio Portela Airport,Senador Petrônio Portela,medium_airport,-5.06025,-42.823712,219.0,South America,BR,BR-PI,Teresina,2200.0464,45.110400000000006,medium,4,7802.316673308571,intercontinental
ALW,Walla Walla Regional Airport,Walla Walla Regional,medium_airport,46.09489822,-118.288002,1194.0,,US,US-WA,Walla Walla,1989.1248,45.72,small,4,7805.570681728261,intercontinental
YAZ,Tofino / Long Beach Airport,Tofino / Long Beach,medium_airport,49.079833,-125.775583,80.0,,CA,CA-BC,Tofino,1523.6952,45.72,small,4,7812.795343437956,intercontinental
CLM,William R Fairchild International Airport,William R Fairchild,medium_airport,48.1202011108398,-123.5,291.0,,US,US-WA,Port Angeles,1934.5656000000001,45.72,small,4,7821.513642382604,intercontinental
SNP,St Paul Island Airport,St Paul Island,medium_airport,57.166311,-170.222555,63.0,,US,US-AK,St Paul Island,1981.2,45.72,small,4,7827.379135634255,intercontinental
CJB,Coimbatore International Airport,Coimbatore,medium_airport,11.029999733,77.0434036255,1324.0,Asia,IN,IN-TN,Coimbatore,2584.704,45.72,medium,4,7828.952263850018,intercontinental
LFT,Lafayette Regional Airport,Lafayette Regional,medium_airport,30.205299,-91.987602,42.0,,US,US-LA,Lafayette,1249.3752,22.86,small,4,7830.447423760937,intercontinental
BFI,Boeing Field King County International Airport,Boeing Field King County,medium_airport,47.529999,-122.302002,21.0,,US,US-WA,Seattle,1130.5032,30.48,small,4,7832.077592590879,intercontinental
JMU,Jiamusi Dongjiao Airport,Jiamusi Dongjiao,medium_airport,46.843399,130.464996,262.0,Asia,CN,CN-23,Jiamusi,2200.0464,45.110400000000006,medium,4,7832.354998262616,intercontinental
FYJ,Fuyuan Dongji Aiport,Fuyuan Dongji Aiport,medium_airport,48.197219,134.36298,,Asia,CN,CN-23,Fuyuan,2499.9696,45.110400000000006,medium,4,7853.5424724325985,intercontinental
YKM,Yakima Air Terminal McAllister Field,Yakima Air Terminal McAllister Field,medium_airport,46.56819916,-120.5439987,1099.0,,US,US-WA,Yakima,1168.9080000000001,45.72,small,4,7853.823403047334,intercontinental
PDT,Eastern Oregon Regional Airport at Pendleton,Eastern Oregon Regional at Pendleton,medium_airport,45.695099,-118.841003,1497.0,,US,US-OR,Pendleton,1920.24,45.72,small,4,7866.1034721971655,intercontinental
CHG,Chaoyang Airport,Chaoyang,medium_airport,41.538101,120.434998,568.0,Asia,CN,CN-21,"Shuangta, Chaoyang",2000.0976,,medium,4,7877.29843815526,intercontinental
GYS,Guangyuan Panlong Airport,Guangyuan Panlong,medium_airport,32.390254,105.694571,,Asia,CN,CN-51,Guangyuan (Lizhou),2499.9696,,medium,4,7880.453261056324,intercontinental
STG,St George Airport,St George,medium_airport,56.577345,-169.663823,125.0,,US,US-AK,St George,1524.0,45.72,small,4,7890.785117275567,intercontinental
JSJ,Jiansanjiang Shidi Airport,Jiansanjiang Shidi,medium_airport,47.108248,132.65792,,Asia,CN,CN-23,Jiansanjiang,2499.9696,,medium,4,7893.51799548412,intercontinental
MCZ,Zumbi dos Palmares Airport,Zumbi dos Palmares,medium_airport,-9.51081,-35.791698,387.0,South America,BR,BR-AL,Maceió,2602.0776,45.110400000000006,medium,4,7893.806463355453,intercontinental
LFQ,Linfen Yaodu Airport,Linfen Yaodu,medium_airport,36.132629,111.641236,1483.0,Asia,CN,CN-14,Linfen (Yaodu),2599.944,45.110400000000006,medium,4,7898.952482859808,intercontinental
MIG,Mianyang Nanjiao Airport,Mianyang Nanjiao,medium_airport,31.428101,104.740997,,Asia,CN,CN-51,Mianyang (Fucheng),2399.9952000000003,,medium,4,7905.876680521506,intercontinental
LCH,Lake Charles Regional Airport,Lake Charles Regional,medium_airport,30.1261005401611,-93.2232971191406,15.0,,US,US-LA,Lake Charles,1584.96,30.48,small,4,7913.357665472716,intercontinental
VEL,Vernal Regional Airport,Vernal Regional,medium_airport,40.440899,-109.510002,5278.0,,US,US-UT,Vernal,1252.1184,18.288,small,4,7921.366621512905,intercontinental
BOI,Boise Air Terminal/Gowen Field,Boise Air Terminal/Gowen Field,medium_airport,43.5644,-116.223,2871.0,,US,US-ID,Boise,1524.0,22.86,small,4,7952.000819077592,intercontinental
GUC,Gunnison Crested Butte Regional Airport,Gunnison Crested Butte Regional,small_airport,38.536346,-106.928306,7680.0,,US,US-CO,Gunnison,2865.1200000000003,45.72,medium,4,7960.7521801988805,intercontinental
JNZ,Jinzhou Bay Airport,Jinzhou Bay,medium_airport,40.936032,121.277114,,Asia,CN,CN-21,"Linghai, Jinzhou",2499.9696,,medium,4,7972.668413959316,intercontinental
BPE,Qinhuangdao Beidaihe Airport,Qinhuangdao Beidaihe,medium_airport,39.666389,119.058889,46.0,Asia,CN,CN-13,Qinhuangdao,2599.944,,medium,4,7978.141099502121,intercontinental
