iata_code,month,monthly_flights
AT_LOWW_IT_LIPE,2024-02,9145469839497148689839497148681168657645922
AT_LOWW_IT_LIPE,2024-03,1266363145777134744314577713474431737286678705
AT_LOWW_IT_LIPH,2024-01,864343104354972546310435497254631560678037803
AT_LOWW_IT_LIPH,2024-02,803941123235962636112323596263611459271167476
AT_LOWW_IT_LIPZ,2024-01,12261619396442749699396442749691452571997326
AT_LOWW_IT_LIPZ,2024-02,1346767116125699591311612569959131551477367778
AT_LOWW_IT_LIPZ,2024-03,1668383152597182807715259718280771960197629839
AT_LOWW_IT_LIRF,2024-01,248124124392171918020037392171918020037467842334423440
AT_LOWW_IT_LIRF,2024-02,216108108380071877019237380071877019237418792091220967
AT_LOWW_IT_LIRF,2024-03,278139139485982344625152485982344625152539792693527044
AT_LOWW_IT_LIRN,2024-01,743737111145717539711114571753971412870717057
AT_LOWW_IT_LIRN,2024-02,643232109165404551210916540455121234661636183
AT_LOWW_IT_LIRN,2024-03,1005050157417361838015741736183801840991779232
AT_LOWW_IT_LIRQ,2024-01,844807399408807399408916460456
AT_LOWW_IT_LIRQ,2024-02,10559924745189924745181152572580
AT_LOWW_IT_LIRQ,2024-03,381919370317521951370317521951436621762190
AT_LOWW_JO_OJAI,2024-01,6633336656439522616656439522611301465236491
AT_LOWW_JO_OJAI,2024-02,5226266574338031946574338031941027851405138
AT_LOWW_JO_OJAI,2024-03,944747100284831519710028483151971621481368078
AT_LOWW_KR_RKSI,2024-01,261313576930312738576930312738723036153615
AT_LOWW_KR_RKSI,2024-02,241212535726052752535726052752698434923492
AT_LOWW_KR_RKSI,2024-03,281414624330513192624330513192814840744074
AT_LOWW_LT_EYVI,2024-01,462323590932532656590932532656721336173596
AT_LOWW_LT_EYVI,2024-02,402020558628622724558628622724654432683276
AT_LOWW_LT_EYVI,2024-03,462323638032613119638032613119720835993609
AT_LOWW_LU_ELLX,2024-01,13367666914322036946914322036941017851255053
AT_LOWW_LU_ELLX,2024-02,13467677509378137287509378137281077853925386
AT_LOWW_LU_ELLX,2024-03,14070708283409341908283409341901076153845377
AT_LOWW_LV_EVRA,2024-01,138696916622853080921662285308092223181115911159
AT_LOWW_LV_EVRA,2024-02,134676717548897685721754889768572218061090310903
AT_LOWW_LV_EVRA,2024-03,1507575209591029810661209591029810661241701208912081
AT_LOWW_MD_LUKK,2024-01,562828784740573790784740573790908345494534
AT_LOWW_MD_LUKK,2024-02,582929837041834187837041834187906645074559
AT_LOWW_MD_LUKK,2024-03,562828608430573027608430573027637331983175
AT_LOWW_ME_LYPG,2024-01,623131592133262595592133262595846042544206
AT_LOWW_ME_LYPG,2024-02,552728539927512648539927512648795339374016
AT_LOWW_ME_LYPG,2024-03,592930569226903002569226903002745136433808
AT_LOWW_MK_LWSK,2024-01,9246466391432620656391432620651159658045792
AT_LOWW_MK_LWSK,2024-02,8341425656298626705656298626701028950295260
AT_LOWW_MK_LWSK,2024-03,8442427218347337457218347337451258362216362
AT_LOWW_MT_LMML,2024-01,1065353127156297641812715629764181903095169514
AT_LOWW_MT_LMML,2024-02,964848145227040748214522704074821726286338629
AT_LOWW_MT_LMML,2024-03,12462621960695871001919606958710019222701113811132
AT_LOWW_MV_VRMM,2024-01,3618189957490450539957490450531188059405940
AT_LOWW_MV_VRMM,2024-02,331716103575332502510357533250251091356265287
AT_LOWW_NL_EHAM,2024-01,319159160407901796022830407901796022830548652725827607
AT_LOWW_NL_EHAM,2024-02,376188188481872446123726481872446123726635953169131904
AT_LOWW_NL_EHAM,2024-03,446223223561342776128373561342776128373769253835838567
AT_LOWW_NO_ENGM,2024-01,422121550326582845550326582845697934993480
AT_LOWW_NO_ENGM,2024-02,402020559427722822559427722822690034573443
AT_LOWW_NO_ENGM,2024-03,442222662232683354662232683354770338573846
AT_LOWW_PL_EPKK,2024-01,1396970126496977567212649697756721903394809553
AT_LOWW_PL_EPKK,2024-02,1286464131116461665013111646166501730886198689
AT_LOWW_PL_EPKK,2024-03,152767615743765480891574376548089213281068110647
AT_LOWW_PL_EPWA,2024-01,343171172285491492713622285491492713622415692074620823
AT_LOWW_PL_EPWA,2024-02,346173173317621541716345317621541716345433472164121706
AT_LOWW_PL_EPWA,2024-03,393197196367681794318825367681794318825481422412424018
AT_LOWW_PT_LPPR,2024-01,442222648734613026648734613026802940024027
AT_LOWW_PT_LPPR,2024-02,482424753635753961753635753961864842974351
AT_LOWW_PT_LPPR,2024-03,5628289554468248729554468248721011150445067
AT_LOWW_PT_LPPT,2024-01,118595916633866179721663386617972207971039910398
AT_LOWW_PT_LPPT,2024-02,116585818486913593511848691359351205061025210254
AT_LOWW_PT_LPPT,2024-03,1206060201651000110164201651000110164216521082410828
AT_LOWW_QA_OTHH,2024-01,1246262222921051011782222921051011782261851309613089
AT_LOWW_QA_OTHH,2024-02,1165858228231148411339228231148411339241361207712059
